transaction_id,account_number,customer_id,trade_date,settlement_date,symbol,security_name,transaction_type,quantity,price_per_share,total_amount,currency,commission,tax,account_type,broker_id,market,timestamp,client_notes,risk_rating
TXN000035,ACC-351997,CUST_708,31 August 2024,2024.09.01,ETH-USD,Ethereum USD,BUY,3.062754,3383.574311,"$-10,363.06",USD,34.08,0.00,Trust,BRK005,CRYPTO,2024-08-31T14:27:47Z,Tax loss harvesting,Med
TXN000036,ACC-341736,CUST_124,08-Apr-2024,,TSLA,Tesla Inc,DIVIDEND,830,3.48,"$2,889.90",USD,14.58,0.00,Trust,BRK003,NASDAQ,2024-04-08T13:06:53Z,,Med
TXN000037,ACC-114835,CUST_726,30/09/2024,03-10-2024,BAC,Bank of America Corp,BUY,65,$38.95,"$-2,531.64",USD,36.89,0.00,Trust,BRK001,NYSE,2024-09-30T13:30:30Z,Rebalancing,Low
TXN000038,ACC-600935,CUST_117,2024.02.03,2024-02-06,EUR/USD,Euro US Dollar,BUY,435272,1.061,-461658.58,USD,33.14,0.00,Corporate,BRK001,FOREX,2024-02-03T10:35:48Z,Market timing,Very High
TXN000039,ACC-498855,CUST_462,14-08-2024,,NFLX,Netflix Inc,DIVIDEND,362,2.89,$1044.83,USD,8.01,0.00,Individual,BRK002,NASDAQ,2024-08-14T13:42:05Z,,Very High
TXN000040,ACC-528361,CUST_462,18 December 2024,21-12-2024,WFC,Wells Fargo & Co,BUY,233,49.06,"$-11,430.92",USD,8.56,0.00,Retirement,BRK003,NYSE,2024-12-18T15:07:34Z,,Very High
TXN000041,ACC-174878,CUST_62,25-03-2024,,SLV,iShares Silver Trust,DIVIDEND,993,$1.5142,"$1,503.59",USD,11.22,,Corporate,BRK004,NYSE ARCA,2024-03-25T16:28:05Z,Dividend reinvestment,
TXN000042,ACC-340044,CUST_985,2024-12-11,,KO,The Coca-Cola Company,DIVIDEND,640,0.297135,$190.17,USD,42.81,0.00,Trust,BRK005,NYSE,2024-12-11T13:11:37Z,,HIGH
TXN000043,ACC-528184,CUST_342,06/13/2024,16 June 2024,NFLX,Netflix Inc,BUY,484,393.232669,$-190324.61,USD,25.02,0.00,Joint,BRK001,NASDAQ,2024-06-13T10:20:16Z,Estate planning,HIGH
TXN000044,ACC-668950,CUST_474,2024-07-30,,NVDA,NVIDIA Corporation,DIVIDEND,824,2.542616,$2095.12,USD,27.10,,Individual,BRK002,NASDAQ,2024-07-30T11:59:18Z,Year-end selling,
TXN000045,ACC-760626,CUST_624,02/05/2024,,WFC,Wells Fargo & Co,DIVIDEND,467,$0.5567,259.99,USD,54.61,0.00,Individual,BRK004,NYSE,2024-05-02T11:31:59Z,Risk management,Medium
TXN000046,ACC-595158,CUST_250,21/08/2024,24/08/2024,VTI,Vanguard Total Stock Market ETF,BUY,142,$243.2013,"-34,534.59",USD,43.63,0.00,Trust,BRK003,NYSE ARCA,2024-08-21T13:52:00Z,,Med
TXN000047,ACC-568238,CUST_552,04-Sep-2024,,SPY,SPDR S&P 500 ETF,DIVIDEND,436,2.331189,"1,016.40",USD,21.09,0.00,Retirement,BRK002,NYSE ARCA,2024-09-04T12:54:49Z,Tax loss harvesting,low
TXN000048,ACC-795928,CUST_812,29/11/2024,02-Dec-2024,EUR/USD,Euro US Dollar,BUY,468327,1.11,$-520254.64,USD,47.25,0.00,Individual,BRK005,FOREX,2024-11-29T09:46:09Z,Quarterly rebalancing,HIGH
TXN000049,ACC-377896,CUST_347,2024.11.15,2024.11.18,XOM,Exxon Mobil Corp,BUY,321,118.85,$-38151.97,USD,40.94,0.00,Trust,BRK005,NYSE,2024-11-15T10:15:40Z,Dollar cost averaging,Low
TXN000050,ACC-203225,CUST_779,11/20/2024,2024-11-21,ETH-USD,Ethereum USD,BUY,0.562136,2648.75,$-1488.96,USD,22.92,0.00,Trust,BRK002,CRYPTO,2024-11-20T15:36:43Z,Rebalancing,Very High
TXN000051,ACC-501126,CUST_635,12-15-2024,,EUR/USD,Euro US Dollar,DIVIDEND,522,$3.2257,"1,683.83",USD,27.98,0.00,Individual,BRK004,FOREX,2024-12-15T11:04:28Z,Market timing,
TXN000052,ACC-579027,CUST_866,06-03-2024,05-Jun-2024,VTI,Vanguard Total Stock Market ETF,SELL,359,228.74,"$82,117.87",USD,19.76,1221.38,Corporate,BRK001,NYSE ARCA,2024-06-03T16:53:57Z,Estate planning,Low
TXN000053,ACC-329642,CUST_652,07-04-2024,,CVX,Chevron Corporation,DIVIDEND,747,$4.2079,"$3,143.27",USD,36.41,0.00,Individual,BRK003,NYSE,2024-04-07T09:37:23Z,Short-term trade,HIGH
TXN000054,ACC-284171,CUST_206,08-Mar-2024,,GBP/USD,British Pound US Dollar,DIVIDEND,900,0.91,815.64,USD,50.70,0.00,Trust,BRK003,FOREX,2024-03-08T10:29:04Z,,MEDIUM
TXN000055,ACC-943671,CUST_571,07/06/2024,,PEP,PepsiCo Inc,SELL,233,$170.7314,39780.43,USD,23.43,355.34,Trust,BRK003,NASDAQ,2024-07-06T12:30:01Z,Risk management,Medium
TXN000056,ACC-779112,CUST_65,21 November 2024,,ORCL,Oracle Corporation,DIVIDEND,468,0.671712,314.36,USD,7.27,0.00,Individual,BRK003,NYSE,2024-11-21T10:06:15Z,Rebalancing,HIGH
TXN000057,ACC-879238,CUST_714,2024.10.03,,GLD,SPDR Gold Shares,DIVIDEND,956,2.132934,2039.09,USD,9.95,0.00,Trust,BRK005,NYSE ARCA,2024-10-03T13:02:44Z,Portfolio diversification,low
TXN000058,ACC-204180,CUST_703,07-Jul-2024,08 July 2024,GOOGL,Alphabet Inc Class A,SELL,109,125.500,13679.54,USD,37.09,72.78,Corporate,BRK002,NASDAQ,2024-07-07T12:04:53Z,Profit taking,High
TXN000059,ACC-952547,CUST_891,29-Apr-2024,2024-05-02,KO,The Coca-Cola Company,BUY,75,$57.77,"$-4,332.96",USD,54.38,0.00,Joint,BRK003,NYSE,2024-04-29T10:42:55Z,,High
TXN000060,ACC-349489,CUST_603,2024-06-14,,META,Meta Platforms Inc,SELL,270,311.258,$84039.58,USD,10.68,0.00,Trust,BRK003,NASDAQ,2024-06-14T10:28:32Z,,Med
TXN000061,ACC-790909,CUST_534,03 June 2024,,XOM,Exxon Mobil Corp,BUY,206,$106.97,-22036.76,USD,26.31,0.00,Individual,BRK004,NYSE,2024-06-03T10:57:05Z,Rebalancing,HIGH
TXN000062,ACC-763829,CUST_600,07-Oct-2024,,VTI,Vanguard Total Stock Market ETF,DIVIDEND,514,$2.5772,"1,324.68",USD,26.51,0.00,Individual,BRK005,NYSE ARCA,2024-10-07T15:28:56Z,,Very High
TXN000063,ACC-865054,CUST_98,2024.06.09,,SPY,SPDR S&P 500 ETF,DIVIDEND,206,3.47,$713.88,USD,28.71,0.00,Individual,BRK001,NYSE ARCA,2024-06-09T15:06:47Z,Estate planning,Medium
TXN000064,ACC-688866,CUST_576,06/17/2024,2024-06-19,BTC-USD,Bitcoin USD,SELL,6.004501,$68893.9519,413673.77,USD,22.58,3388.44,Trust,BRK002,CRYPTO,2024-06-17T14:54:35Z,Estate planning,Medium
TXN000065,ACC-946432,CUST_440,2024-10-14,,SLV,iShares Silver Trust,DIVIDEND,323,0.241871,$78.12,USD,18.66,0.00,Corporate,BRK003,NYSE ARCA,2024-10-14T09:11:55Z,,MEDIUM
TXN000066,ACC-763928,CUST_996,01/16/2024,,PFE,Pfizer Inc,DIVIDEND,479,$2.32,"$1,112.65",USD,12.87,0.00,Corporate,BRK003,NYSE,2024-01-16T09:09:10Z,Long-term investment,Medium
TXN000067,ACC-544611,CUST_498,06 November 2024,11/09/2024,BTC-USD,Bitcoin USD,SELL,1.109787,$47081.0499,52249.93,USD,38.91,674.23,Corporate,BRK001,CRYPTO,2024-11-06T15:38:03Z,,Very High
TXN000068,ACC-904624,CUST_141,10-05-2024,,SPY,SPDR S&P 500 ETF,BUY,90,474.701412,$-42723.13,USD,11.46,0.00,Joint,BRK002,NYSE ARCA,2024-05-10T14:04:25Z,Long-term investment,Med
TXN000069,ACC-181644,CUST_883,2024.06.09,11-06-2024,GLD,SPDR Gold Shares,SELL,11,184.607,"2,030.68",USD,53.31,39.02,Trust,BRK003,NYSE ARCA,2024-06-09T15:54:06Z,,Medium
TXN000070,ACC-649414,CUST_81,21-07-2024,07/22/2024,PFE,Pfizer Inc,SELL,59,30.105,1776.19,USD,31.53,29.56,Corporate,BRK002,NYSE,2024-07-21T10:09:16Z,,Very High
TXN000071,ACC-897143,CUST_778,12/01/2024,,META,Meta Platforms Inc,DIVIDEND,822,2.862304,"$2,352.81",USD,33.97,0.00,Joint,BRK005,NASDAQ,2024-12-01T14:09:28Z,,MEDIUM
TXN000072,ACC-720148,CUST_58,06/29/2024,30-Jun-2024,WFC,Wells Fargo & Co,SELL,40,$51.63,"2,065.36",USD,37.23,13.12,Joint,BRK005,NYSE,2024-06-29T16:37:35Z,Year-end selling,low
TXN000073,ACC-949153,CUST_586,11-29-2024,,SPY,SPDR S&P 500 ETF,DIVIDEND,204,4.793,977.74,USD,27.53,0.00,Corporate,BRK001,NYSE ARCA,2024-11-29T11:02:15Z,Portfolio diversification,Med
TXN000074,ACC-396635,CUST_397,28-Jul-2024,,CVX,Chevron Corporation,DIVIDEND,696,3.27,"$2,277.17",USD,8.30,,Individual,BRK005,NYSE,2024-07-28T13:16:46Z,Market timing,low
TXN000075,ACC-795847,CUST_145,28-06-2024,,XOM,Exxon Mobil Corp,DIVIDEND,182,3.016,$548.86,USD,51.90,0.00,Corporate,BRK005,NYSE,2024-06-28T14:52:08Z,,low
TXN000076,ACC-543973,CUST_521,2024-07-04,05-Jul-2024,QQQ,Invesco QQQ Trust,SELL,249,444.77,"110,746.94",USD,14.60,811.13,Corporate,BRK001,NASDAQ,2024-07-04T09:42:21Z,Market timing,Med
TXN000077,ACC-261745,CUST_167,02/04/2024,,PFE,Pfizer Inc,SELL,369,28.64,"$10,569.26",USD,16.88,98.02,Trust,BRK002,NYSE,2024-04-02T12:19:51Z,,Med
TXN000078,ACC-811256,CUST_970,19 October 2024,2024.10.22,ETH-USD,Ethereum USD,SELL,8.169096,$3932.5363,$32125.26,USD,45.06,281.10,Trust,BRK003,CRYPTO,2024-10-19T10:45:54Z,Short-term trade,Med
TXN000079,ACC-900185,CUST_165,19 May 2024,,CRM,Salesforce Inc,DIVIDEND,497,0.549396,$273.05,USD,50.53,0.00,Trust,BRK003,NYSE,2024-05-19T15:03:25Z,Profit taking,Low
TXN000080,ACC-129556,CUST_327,20-Feb-2024,22 February 2024,PEP,PepsiCo Inc,BUY,72,173.92,"-12,522.34",USD,42.94,0.00,Trust,BRK004,NASDAQ,2024-02-20T10:01:16Z,,Low
TXN000081,ACC-402096,CUST_244,06/03/2024,06 June 2024,GOOGL,Alphabet Inc Class A,BUY,429,$123.77,"$-53,096.66",USD,50.26,0.00,Joint,BRK005,NASDAQ,2024-06-03T12:45:09Z,,Low
TXN000082,ACC-536802,CUST_192,12/06/2024,,GBP/USD,British Pound US Dollar,SELL,275985,$1.30,"$359,499.70",USD,44.32,1907.15,Trust,BRK001,FOREX,2024-12-06T14:16:47Z,,low
TXN000083,ACC-352838,CUST_751,12/02/2024,,KO,The Coca-Cola Company,DIVIDEND,390,0.753707,$293.95,USD,22.61,0.00,Corporate,BRK002,NYSE,2024-12-02T16:40:11Z,Short-term trade,HIGH
TXN000084,ACC-145934,CUST_811,2024-04-12,15 April 2024,SPY,SPDR S&P 500 ETF,SELL,386,425.331377,"164,177.91",USD,37.35,2944.05,Individual,BRK003,NYSE ARCA,2024-04-12T10:51:23Z,Dividend reinvestment,
TXN000085,ACC-455505,CUST_998,05 April 2024,08-04-2024,JNJ,Johnson & Johnson,SELL,373,$166.0230,"61,926.56",USD,26.22,1233.98,Retirement,BRK005,NYSE,2024-04-05T14:06:05Z,Dollar cost averaging,
TXN000086,ACC-731894,CUST_735,06/08/2024,07-Aug-2024,JNJ,Johnson & Johnson,SELL,223,162.29703,$36192.24,USD,18.73,695.56,Individual,BRK004,NYSE,2024-08-06T11:01:09Z,Quarterly rebalancing,MEDIUM
TXN000087,ACC-232361,CUST_69,30-Apr-2024,01/05/2024,QQQ,Invesco QQQ Trust,SELL,486,$417.91,$203102.42,USD,23.55,1249.75,Retirement,BRK005,NASDAQ,2024-04-30T15:20:41Z,,MEDIUM
TXN000088,ACC-871411,CUST_191,2024.09.12,,ORCL,Oracle Corporation,DIVIDEND,843,1.38,"1,159.48",USD,27.31,0.00,Joint,BRK003,NYSE,2024-09-12T12:07:08Z,Portfolio diversification,HIGH
TXN000089,ACC-949884,CUST_699,12-Jun-2024,14-06-2024,JNJ,Johnson & Johnson,BUY,365,167.027241,$-60964.94,USD,40.48,0.00,Retirement,BRK003,NYSE,2024-06-12T12:07:12Z,Profit taking,Med
TXN000090,ACC-700076,CUST_378,27/08/2024,,SLV,iShares Silver Trust,BUY,368,23.9816,"$-8,825.23",USD,40.94,0.00,Joint,BRK004,NYSE ARCA,2024-08-27T10:08:20Z,Portfolio diversification,low
TXN000091,ACC-969325,CUST_799,09/10/2024,10/10/2024,KO,The Coca-Cola Company,BUY,156,60.181,"$-9,388.24",USD,13.23,0.00,Corporate,BRK002,NYSE,2024-10-09T13:54:05Z,,MEDIUM
TXN000092,ACC-417534,CUST_630,09/30/2024,,GBP/USD,British Pound US Dollar,DIVIDEND,644,0.856,$550.98,USD,37.94,0.00,Joint,BRK003,FOREX,2024-09-30T09:05:02Z,Estate planning,Low
TXN000093,ACC-904214,CUST_586,2024-08-01,,EUR/USD,Euro US Dollar,DIVIDEND,707,4.787586,"3,384.82",USD,29.15,0.00,Trust,BRK003,FOREX,2024-08-01T10:44:03Z,,HIGH
TXN000094,ACC-456717,CUST_622,14-Mar-2024,,NFLX,Netflix Inc,DIVIDEND,931,1.792316,1668.65,USD,24.94,0.00,Corporate,BRK005,NASDAQ,2024-03-14T10:20:15Z,Dollar cost averaging,Med
TXN000095,ACC-153063,CUST_298,2024.07.15,18-Jul-2024,JPM,JPMorgan Chase & Co,BUY,82,147.593364,"-12,102.66",USD,29.91,0.00,Joint,BRK004,NYSE,2024-07-15T13:31:01Z,,HIGH
TXN000096,ACC-325595,CUST_598,2024-06-29,02 July 2024,GOOGL,Alphabet Inc Class A,SELL,5,$137.1449,$685.72,USD,47.36,12.51,Corporate,BRK004,NASDAQ,2024-06-29T09:25:03Z,Profit taking,MEDIUM
TXN000097,ACC-177103,CUST_396,15 September 2024,,KO,The Coca-Cola Company,DIVIDEND,688,3.434,"2,362.56",USD,10.94,0.00,Individual,BRK004,NYSE,2024-09-15T14:35:23Z,Profit taking,MEDIUM
TXN000098,ACC-147504,CUST_40,11-Mar-2024,12/03/2024,PEP,PepsiCo Inc,SELL,314,$166.56,"$52,299.63",USD,20.93,745.14,Corporate,BRK005,NASDAQ,2024-03-11T16:45:36Z,,MEDIUM
TXN000099,ACC-447329,CUST_690,2024.02.26,2024-02-29,GLD,SPDR Gold Shares,SELL,136,203.876385,27727.19,USD,53.35,461.45,Joint,BRK002,NYSE ARCA,2024-02-26T16:10:33Z,Market timing,Low
TXN000100,ACC-961574,CUST_698,2024-05-04,,GLD,SPDR Gold Shares,DIVIDEND,69,2.26,156.02,USD,25.94,0.00,Trust,BRK002,NYSE ARCA,2024-05-04T16:55:54Z,Long-term investment,low
TXN000101,ACC-794395,CUST_490,2024.09.26,29-Sep-2024,SPY,SPDR S&P 500 ETF,BUY,347,$454.6273,"$-157,755.68",USD,43.60,0.00,Corporate,BRK005,NYSE ARCA,2024-09-26T12:15:17Z,Profit taking,HIGH
TXN000102,ACC-823769,CUST_722,07-Sep-2024,10-09-2024,EUR/USD,Euro US Dollar,SELL,310667,1.070145,"$332,458.82",USD,38.83,6550.24,Corporate,BRK002,FOREX,2024-09-07T09:18:45Z,,
TXN000103,ACC-883641,CUST_491,04-19-2024,,DIS,The Walt Disney Company,DIVIDEND,625,3.51,$2194.52,USD,11.86,0.00,Joint,BRK005,NYSE,2024-04-19T12:03:42Z,Profit taking,Very High
TXN000104,ACC-446337,CUST_735,08/29/2024,,CVX,Chevron Corporation,BUY,476,$156.51,-74499.03,USD,12.90,0.00,Trust,BRK004,NYSE,2024-08-29T13:20:18Z,Estate planning,Very High
TXN000105,ACC-858243,CUST_871,20/01/2024,2024.01.21,BTC-USD,Bitcoin USD,BUY,1.86393,$62578.6220,"$-116,642.17",USD,42.45,0.00,Corporate,BRK001,CRYPTO,2024-01-20T13:36:38Z,,Low
TXN000106,ACC-772464,CUST_557,25 September 2024,27-09-2024,CRM,Salesforce Inc,BUY,58,215.42,-12494.64,USD,21.53,0.00,Trust,BRK003,NYSE,2024-09-25T09:47:21Z,Market timing,High
TXN000107,ACC-769752,CUST_919,2024.07.26,07/29/2024,GBP/USD,British Pound US Dollar,SELL,83721,$1.27,"$106,198.26",USD,28.87,541.87,Trust,BRK002,FOREX,2024-07-26T13:21:19Z,Market timing,HIGH
TXN000108,ACC-785436,CUST_369,12-20-2024,,GOOGL,Alphabet Inc Class A,DIVIDEND,364,0.88,321.27,USD,39.30,0.00,Corporate,BRK001,NASDAQ,2024-12-20T14:39:14Z,,
TXN000109,ACC-884056,CUST_621,2024.07.10,,JNJ,Johnson & Johnson,DIVIDEND,825,$2.73,$2255.42,USD,38.20,0.00,Retirement,BRK002,NYSE,2024-07-10T16:33:45Z,Market timing,Medium
TXN000110,ACC-630041,CUST_208,20/10/2024,10/22/2024,META,Meta Platforms Inc,SELL,368,$302.04,"111,152.30",USD,34.16,0.00,Joint,BRK004,NASDAQ,2024-10-20T16:08:32Z,Market timing,Low
TXN000111,ACC-423139,CUST_741,2024.01.12,01/15/2024,BAC,Bank of America Corp,BUY,177,25.91,"-4,585.33",USD,40.02,0.00,Joint,BRK001,NYSE,2024-01-12T16:02:18Z,Estate planning,Medium
TXN000112,ACC-501058,CUST_460,2024.07.12,,MSFT,Microsoft Corporation,DIVIDEND,945,$2.74,$2591.73,USD,37.68,0.00,Corporate,BRK001,NASDAQ,2024-07-12T15:33:08Z,Profit taking,High
TXN000113,ACC-585494,CUST_690,2024.10.05,06 October 2024,BOND_10Y,US Treasury 10 Year,SELL,142,$98.46,"13,981.55",USD,14.42,230.45,Individual,BRK004,BOND,2024-10-05T12:13:04Z,,Low
TXN000114,ACC-726822,CUST_689,2024-12-26,,JPM,JPMorgan Chase & Co,DIVIDEND,499,$1.2483,$622.88,USD,15.86,0.00,Individual,BRK002,NYSE,2024-12-26T13:14:52Z,Market timing,Med
TXN000115,ACC-250219,CUST_677,09-23-2024,26/09/2024,BTC-USD,Bitcoin USD,SELL,4.272579,56909.76,"243,151.42",USD,29.78,4649.98,Trust,BRK005,CRYPTO,2024-09-23T15:26:09Z,,MEDIUM
TXN000116,ACC-352673,CUST_870,25-04-2024,,NFLX,Netflix Inc,DIVIDEND,524,$4.5822,$2401.09,USD,33.12,0.00,Trust,BRK005,NASDAQ,2024-04-25T11:24:15Z,,Med
TXN000117,ACC-988283,CUST_380,02-17-2024,2024-02-20,GOOGL,Alphabet Inc Class A,SELL,97,172.42,$16724.47,USD,45.23,252.07,Retirement,BRK004,NASDAQ,2024-02-17T14:19:58Z,,Very High
TXN000118,ACC-883159,CUST_773,09-02-2024,,JNJ,Johnson & Johnson,DIVIDEND,456,4.58412,$2090.36,USD,32.60,0.00,Corporate,BRK004,NYSE,2024-09-02T14:19:16Z,Portfolio diversification,HIGH
TXN000119,ACC-857505,CUST_481,06-12-2024,06-15-2024,QQQ,Invesco QQQ Trust,SELL,9,424.13,"3,817.13",USD,18.04,52.25,Trust,BRK003,NASDAQ,2024-06-12T12:21:14Z,,High
